Index,Topic 1:,Topic 2:,Topic 3:,Topic 4:,Topic 5:,Topic 6:,Topic 7:,Topic 8:,Topic 9:,Topic 10:,Topic 11:,Topic 12:,Topic 13:,Topic 14:,Topic 15:,Topic 16:,Topic 17:,Topic 18:,Topic 19:,Topic 20:,Topic 21:,Topic 22:,Topic 23:,Topic 24:,Topic 25:,Topic 26:,Topic 27:,Topic 28:,Topic 29:,Topic 30:,Topic 31:,Topic 32:,Topic 33:,Topic 34:,Topic 35:,Topic 36:,Topic 37:,Topic 38:,Topic 39:,Topic 40:
11,services,100,roche,world,co2,labour,refer note,global health,report 2019,equity,integrity,personal,pages,meeting,data assured,hse,help,receivables,chain management,approach,development committee,effectiveness companys,america operations,performance,type diabetes,incentive,danish kroner,reduction,adjustment,price,ensure,000 people,section 14,recycled,diseases,drug,impact,united kingdom,results clinical,organization
12,expand,nordisk pharma,committee members,consumer,consumption,human health,accounting,care,31 2019,recognised,standards,personal data,novonordisk com,general,assured erm,environment hse,program,tax assets,suppliers,party,committee,explanation,europe,stewardship,cancer,financial targets,kroner,high,depreciation,needs,high,planet,categories,total,novartis,introduced,nordisks,compact,patient,compact
13,professionals,share,governance,medical,reduce,risk,financial reporting,digital,2020,voting,practices,data privacy,novonordisk,chairman,associated data,ehs,support,current,chain initiative,assessment,use,boundary,increased,environmental stewardship,chronic,short term,billion,use water,exchange,medicines patients,control,work,indicators 14,reuse,low income,technologies,novo nordisks,canada,treatment,sanofi
14,pricing,novo holdings,ceo,johnson sites,use,guiding principles,parent,public,december 31,value based,policies,based,pages msdresponsibility,general meeting,assured,patient health,managers,income tax,principles responsible,plans,bioethics,strategy,latin america,climate,cardiovascular,stakeholders,cer,manufacturing,change,affordable,life cycle,world,fall,production,launched,digital,free cash,principles,information,global business
15,partnerships,holdings,stock,devices,electricity,risks,annual report,world,end,non voting,business conduct,discontinued,management compliance,2020,humanity,safety environmental,time,deferred tax,initiative psci,responsible,projects,companys,latin,environmental social,health care,sustainable,amounts,resources,exchange rate,benefit,cycle,young,section,waste landfill,africa,new ways,net cash,japan,sanofi,global compact
16,solutions,member board,paid,sites,energy consumption,guiding,act,coverage,progress,voting equity,business culture,continuing discontinued,information initiatives,elected,health humanity,safety culture,leadership,deferred income,initiative,management process,goals sdgs,material,aameo,environmental protection,people diabetes,short long,cer dkk,used,disposals year,access,compliance,years,13,operational waste,program,develop new,free,sites,lilly,hse
17,improve access,board novo,remuneration committee,foundation,scope scope,rights violations,accordance,public health,january 2019,measured,business practices,discontinued operations,policies accomplishments,management,goals,process safety,providing,income taxes,industry principles,party risk,responsible research,managed,region aameo,governance,segment,fixed,amounts dkk,facilities,disposals,new medicines,quality safety,communities,resources section,generated,programs,ways,financial position,global compact,approval,strategy
18,approach,2019 novo,corporate governance,program,scope ghg,diligence,parent company,human health,end 2019,securities,code conduct,reporting,initiatives policies,committee,2020,occupational,help employees,net,principles,level,sdgs,effectiveness,japan,footprint,care segment,long standing,danish,production sites,year end,vaccines,regulatory requirements,young people,performance indicators,waste sent,selected,focus,profit cash,pharmaceutical,outcomes,workforce
19,patient access,market,dr,healthcare,co2 emissions,issues,group,health coverage,compared,grant,business segments,data science,governance,directors executive,2020 goals,employee safety,benefits,financial assets,value chain,senior management,leadership,mechanisms,korea,zero,products,standing,shares,water risk,prior,innovative medicines,product stewardship,reach,paid,waste generated,access,time,position operating,nations global,phase clinical,local
20,innovation,limited,member,johnson employees,sources,conduct,note consolidated,universal health,published,years,responsible,available,accomplishments,shareholder,associated,quality safety,communities,costs,ensure,senior,responsible,evaluating,region europe,environmental footprint,relates diabetes,interests,15,cdp,adjustments,pricing,product environmental,helping,14 water,reused,number,program,does expect,women,world,corporate responsibility
